Accession Number,Last Name ,First Name,Artist Gender,Title,Year,Location Name,Latitude,Longitude,Address,Location Description,Interior-Exterior ,Category,Object Type,Material,Material Details,Size,Additional Description,About The Work
CAC01.05,Simun,Konstantin,Male ,"""Fokin Memorial""",2001,One Brattle Square,42.373352,-71.121208,"1 Brattle Square, Cambridge, MA 02138",on the corner of One Brattle Square,Exterior ,Sculpture ,Bronze-Gilded,Bronze ,"Bronze, granite, gold leaf on concrete bollard","9"" x 5"" x 7"" on bollard",Small gold puppet statue on bollard,"Immediately after Igor Fokin's death, a memorial fund was established and several benefits were held to raise money for the pupeteer's family. There was a tremendous outpouring of money, condolences and support from the local community and friends of the family in the months following his passing. At the base of the granite pedestal which ""DooDoo"" (Igor's favorite puppet) sits on, are three bronze bricks with a memorial inscription. The plaque not only memorializes Igor, but pays tribute to all street performers. The location of the memorial is on the corner of One Brattle Square, where Igor worked most often and performed his final show. It was designed so as to not interfere or make it difficult for other performers to use the spot for future shows.A graduate of the St. Petersburg Theatrical Institute in Russia, Fokin moved to Cambridge, MA in the summer of 1993 and was instantly surrounded by mesmerized admirers. Children and adults were captivated by the intricate, gentle and life-like character of his creations. By the end of the summer, he had established himself as one of the most popular acts in the Boston area. In the summer of 1996, he performed at the Olympic festivities in Atlanta.Konstantin Simun was born in Leningrad, USSR in 1934 and has lived with his family in the Boston area since 1988. He has a degree in sculpture from the Repin Art Institute in Leningrad and has completed several large and small public art commisions. His work is part of the permanent collections of many of the largest museums in Russia."
CAC04.03,Slosberg-Ackerman,Jill,Female,"""Rei""",2004,Squirrel Brand Community Garden,42.367449,-71.096537,"268 Broadway, Cambridge, MA 02139",Broadway between Columbia and Windsor,Exterior ,Sculpture ,Metal ,Steel ,Steel (painted),"Squirrel: H 5ê10"" x W 5ê6"" x D 4ê",,
CAC07.04,Speiser,Ken,Male ,"""Hearth""",2007,Greene-Rose Heritage Park,42.36603,-71.094799,"155 Harvard St, Cambridge, MA 02139",,Exterior ,Sculpture ,"Brick, and steel ",Brick and steel ,"Brick, steel","59""H x 108""W x 44""D",Brick hearth,
CAC02.03c,Tagiuri,John,Male ,"""Chairs and Endless Lamps""",2002,Area 4 Youth Center ,42.36817,-71.100959,"243 Harvard St, Cambridge, MA 02139",Located behind 243 Harvard street Between the youth center building and the adjacent Sennot Park Basketball court,Exterior ,Sculpture ,"Concrete, Metal",Concrete ,Concrete,,,"With a characteristic whimsy, artist John Tagiuri is creating cast concrete lazy chairs, a grand stairway, and two endless-column living room lamps by the youth center's back patio. The artist's proposal developed out of several meetings with the young members of the Center, who originally drew his attention to the problematic connection between the building and the adjacent park. The stairway will function as an artistic ""grand stand"" for the Sennott Park basketball court. As part of the project, Tagiuri held workshops at the youth center where the members documented the everyday culture and spirit of the center and their own communities in hundreds of Polaroid photos."
CAC97.03a,Taho,Ritsuko,Female  ,"""Multicultural Manifestoes""",1997,"Carl Barron Plaza, Central Square",42.364895,-71.103344,"620 Massachusetts Ave, Cambridge, MA 02139",Intersection of Massachusetts Avuenue and River Street,Exterior ,Sculpture ,Mixed media ,"Glass, brick, brass, granite ","Glass, brass, brick, granite","80.75""H x 30.5""Dia",Multiple elements in half-acre plaza,"This half-acre installation in the heart of Central Square reveals the inner hopes of Cantabrigians of all ages and backgrounds. Taho spent five months soliciting ""dream statements"" via public meetings, workshops, and ""dream collection boxes"" around the Square. She then inscribed selections on six rings of brass cylinders. The statements range from personal ambitions (becoming a teacher, veterinarian, or dancer; finishing college) to goals for the world at large (ending racism and pollution, increasing tolerance and unity). Three of the scroll rings rest on a pillar of frosted glass bearing the word ""dream"" in 48 languages. These three ""dream towers"" (one shown here) are internally lit, providing a comforting glow for nighttime passersby.  Taho received a BFA and MFA in design from Musashino Art University in Tokyo and an MFA in sculpture from Yale University. She has exhibited her work in group and solo exhibitions at museums and galleries around the world and received numerous commissions for temporary and permanent public installations in the U.S. and Japan."
CAC06.03a,Thurston,Randal,Male ,"""Yerxa Road Underpass""",2006,Yerxa Road Underpass,42.390459,-71.129139,"Yerxa Rd Underpass, Cambridge, MA 02140",Yerxa Road Underpass in North Cambridge provides pedestrian passage under the Fitchburg commuter rail line ,Exterior ,Sculpture ,Metal-Painted Steel,Tnemec Painted Steel,Ceramic tiles ainted and sandblasted ,,70 painted steel birds mounted along ramp wall; 2 portal frames; etched and painted ceramic tile walls in tunnel,"The Yerxa Road Underpass in North Cambridge provides pedestrian passage under the Fitchburg commuter rail line and links the two neighborhoods on either side of the tracks. Artist Randal Thurston has created a striking design for the double entrance to the tunnel and the 120-foot ramp that will slope gently into and out of the tunnel.These preparatory drawings and cut-outs show some of the ideas the artist has explored. The design incorporates his characteristic silhouettes - of tree branches and roots, birds in flight, vines, and butterflies - and plays with perceptions of descending and ascending, positive and negative space, and abstraction and realism. The materials used will be powder-coated steel and concrete. The post and lintel form over the two entrances will be framed with artwork as well. The artist has written, ""I want the primary experience of seeing the tunnel and slowly approaching it to be one of wonder and curiosity."""
CAC83.02,Turre,Michele,Female,"""Cambridge and its Watershed""",1983,Cambridge Water Department,42.382766,-71.144037,"250 Fresh Pond Pkwy, Cambridge, MA 02138","250 Fresh Pond Parkway, 2nd Floor",Interior ,Mural,Painting ,Acrylic on masonite ,Acrylic on masonite,"8' x 16' x1/4""",,"In a wedding of graphics and fine art, Michele Turre has created a map of the city's reservoir system to scale. Consisting of an aerial view of Cambridge and its enivirons, from the Mystic River to Walden Pond, the map shows the entire reservoir system and associated watershed. Using topographical maps and high altitude infrared photographs from NASA as source material, she added, in painstaking detail, all of the streets and buildings in Cambridge, as well as the streams and lakes which form the city's water system. The mural's dominant colors are green, blue, and tan, with two stark lines, one red and one blue, which represent the water supply conduits. The areas within the borders of the watershed are painted in higher contrast and with more saturated color than the surrounding areas, which are more loosely painted in softer colors.Turre studied at Sonoma State University and at the University of Iowa. She has exhibited widely in Massachusetts, Iowa, Ohio, Wisconsin, New York, and Connecticut."
CAC86.04,Tyler,James,Male ,"""Tower of East Cambridge Faces""",1986,Lechmere Canal Park,42.369473,-71.075958,"Lechmere Canal Park, Cambridge, MA 02141","Between Cambridge Street, First Street and the Galleria Mall; at the east corner of the Interleaf Building  ",Exterior ,Sculpture ,Bronze ,Bronze ,Bronze ,"14' x 30"" x 30""",Tall bronze sculpture on cast stone base,"Tyler's intention to capture in bronze the diverse culture of East Cambridge is realized in the rich collection of distinct images and textures that make up his sculpture. Fifty faces of area residents -- randomly assembled from photographs taken in the neighborhood by the artist -- comprise this 'tower' of faces. Even the artist does not know who the persons depicted are, and some of them may be unaware that their image is preserved in bronze, but each of the fifty faces speaks of individuality and personal conviction, however harmoniously intermixed it may be in the sculptural whole.Tyler has studied at Hampshire and Nasson colleges. He specializes in life-size sculpture and has completed many public art commissions, including a series of realistic figures for Davis Square in Somerville as part of the MBTA Arts On The Line Program."
CAC99.10c,Ukeles,Mierle,Female ,"""Turnaround/Surround""",2001,Danehy Park,42.389148,-71.133156,"99 Sherman St, Cambridge, MA 02138",Top of the Hill,Exterior ,Sculpture ,Rubber ,Recycled EPDM Rubber Granules,,20' Diameter,,"""Turnaround Surround"" is a public artwork incorporated into the landscape of a 55-acre former dumpsite and landfill closed in 1972. The art includes a half-mile long glassphalt path that traverses the central mound in the park, providing access to the top and views of the Boston skyline. With 22 tons of crushed glass and mirror mixed into the asphalt, the use of glassphalt (for the first time in Massachusetts) suggests that there exist creative, sound solutions to environmental problems. The artist and the landscape architect also collaborated on a planting plan for the mound. The final phase of the art project will include sculptural disks made of rubber and will involve members of all the different cultures of the City in a creative interaction.Mierle Laderman Ukeles is best known for public art dealing with waste and urban maintenance issues, including on-site installations and performances in New York City sanitation facilities. She is currently working on large-scale commissions for the Fresh Kills Landfill and Sanitation Garage in Staten Island, New York. Ukeles is the recipient of many grants and fellowships, including The Andy Warhol Foundation Grant, Guggenheim Fellowship, and numerous NEA grants. She has been awarded public art commissions most recently from the Taejon Science Town, Taejon, Republic of Korea; the Maine College of Art, Portland; and from the International Ladies Garment Workers Union."
CAC04.04,Von Huene,Andreas,Male ,"""Salmones Salari (The Great Leaper)""",2004,Lowell School Playground,42.375093,-71.133747,"Lowell School Playground, Cambridge, MA 02138",Behind Lowell School North of Mount Auburn St.,Exterior ,Sculpture ,Stone Fountain,Granite ,Granite,"1ê 4"" x 8"" (diameter)",Water feature,
CAC87.01,Wainwright,William,Male ,"""Never Green Tree""",1987,Lechmere Canal Park,42.369473,-71.075958,"Lechmere Canal Park, Cambridge, MA 02141","Between Cambridge Street, First Street and the Galleria Mall; on a raised plaza at the north end of the Thomas Graves Landing ",Exterior ,Sculpture ,Metal-Mixed Media,"Steel, aluminum, mylar ","Steel, aluminum, Mylar",35' x 8',Sculpture,"The steel frame that forms the 'trunk' of the wind sculpture is camouflaged by 'leaves' made of aluminum cubes. When the wind activates the cubes, the diffraction grading (mylar) surface which covers the leaves deflects light into constantly changing prismatic colors. The sculpture reflects in the water of the canal and the windows of surrounding buildings, multiplying itself and the sun rays it catches.William Wainwright deserves to be called a 20th century ""renaissance artist,"" applying his professional training in both architecture and engineering to create complex and innovative mobile sculptures. Besides his creative contribution to art, he holds two U.S. patents. Wainwright studied at Purdue University, Cornell, the Institute of Design in Chicago, and M.I.T. He taught architecture at Harvard Graduate School of Design for a number of years and his sculptures have been exhibited in numerous technological and art venues alike"
CAC92.03.1,Webb,Nancy,Female,"""Insects (small medallion with flower imagery)""",1992,Charles Park,42.365138,-71.076571,"Charles Park Cambridge, MA 02142",Commercial Avenue at the intersection of Charles Street; scattered around the park ,Exterior ,Sculpture ,Bronze ,Bronze ,Bronze,"4""Dia","Located inside park, near Cambridgeside Place entrance, on top of granite curb. (Total artwork: 12 small sculptures; 26 medallions, one plaque)","Visitors to the park are greeted by bugs and beetles, creeping up the bollards that flank its two entrances. But there is no need to recoil; the insects are a part of a series of bas-reliefs created by artist Nancy Webb, representing the plant and animal life found in the area. At the south entrance, a praying mantis and a cricket, cast in a full three-dimensional sculpture, join their fellow insects in the salutation. Bronze reliefs are also found on the steel fence running along Commercial Avenue and embedded in granite elements throughout the park. Facing the outside are depictions of the weeds that ""grow in the urban wasteland,"" as Webb puts it, while the reliefs on the interior portray the flowers planted around them, along with a whole inventory of bugs and butterflies that thrive in the park, including Clover with Ant and Bee; Dandelions with Fritillary Butterfly and Prionus Beetle; Coreopsis; Coralbells; Daylily; Yarrow and Leafhopper. A bronze plaque, also made by the artist, lists all the bronze plants and creatures found in the park."
CAC08.02,Whitman,Heidi,Female,"""Brain Terrain""",2008,Jill Brown-Rhone Park,42.363359,-71.100027,"371 Massachusetts Ave, Cambridge, MA 02139",intersection of Main street and  Columbia St. (near Massachusetts Avenue ) ,Exterior ,Sculpture ,Mosaic-Glass Tiles ,Glass tiles ,"Glass tile (smalti), Mapei Grani-Rapid grout","36"" x 48""",Floor mosaic,"Heidi Whitman was selected through the Cambridge Arts Councilês Artist Roster to create her first public art project, for the Jill Brown-Rhone Park (Lafayette Square Plaza), located on Historic Main Street at the intersection of Massachusetts Avenue in Central Square, Cambridge. For this project, Whitman translates one of her paintings into a 36""x 48"" glass tile mosaic entitled, Brain Terrain. The design juxtaposes symbols of the U.S.A., Haiti, China, India, & Portugal, countries representing Cambridgeês most recent immigrant populations, with references to the Charles River and surrounding location. Whitmanês concept is to create ""icons of language"" that generate pride and connection to Cambridge. The construction of the plaza, which began in Spring 2007 and was dedicated on June 25, 2008, includes trees, seating, pedestrian lighting, and space for community events, and is part of a larger infrastructure design project."
CAC09.02,Wodiczko,Krzysztof,Male ,"""Illumination Project for the Robert W. Healy Public Saftey Facility""",2009,Robert W. Healy Public Saftey Facility,42.367151,-71.086144,"125 6th St, Cambridge, MA 02141",On the facade of the building ,Exterior ,Electronic Media ,Digital-Lighting installation ,"LED Lights, Metal, Computer Software",,"14 lights: 7 top row 8' x 18"" x 11"", 7 bottom row 5' x 7 1/2"" x 5 1/2""",,"Artist Krzysztof Wodiczko created a work of public art for the Robert W. Healy Public Safety Facility that illuminates the façade of the building with a dynamic lighting system.  Using LED lamps and making new use of the twelve existing light fixtures on the front of the building, the artist selected different colors of light and display patterns in order to symbolize and express the continuing responsiveness of the Cambridge Police Department and the Emergency Communications Center to the life of Cambridge citizens. "
CAC13.02b,Zeigler,Mel,Male ,"""Taking Note""",2013,Cambridge Rindge & Latin School,42.374446,-71.111795,"459 Broadway, Cambridge, MA 02138",Stairwell 1 between 3rd - 4th floors,Interior,Sculpture,Metal-Painted Aluminum,Painted Aluminum,,,Painted red,
